gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp
GNB4,15,6,9,1.0,0.9814814814814814,0.8148148148148149
GNPTAB,52,37,15,0.927927927927928,0.9459459459459459,0.8810810810810812
GNPTG,13,5,8,1.0,1.0,1.0
GOSR2,9,4,5,1.0,1.0,0.9
GOT2,12,3,9,0.9629629629629629,1.0,1.0
GP1BA,41,24,17,0.9852941176470588,0.9803921568627451,0.9117647058823529
GP1BB,24,21,3,1.0,0.7777777777777778,0.7142857142857143
GP9,19,12,7,1.0,0.9642857142857143,0.9166666666666666
GPAA1,14,6,8,0.8541666666666666,0.9791666666666666,0.9791666666666666
GPC3,36,4,32,0.90625,0.90625,0.9296875
GPD1,13,4,9,0.9722222222222222,1.0,1.0
GPR143,37,25,12,0.91,0.9500000000000001,0.9
GPT2,10,4,6,1.0,1.0,1.0
GREB1L,46,20,26,0.7903846153846154,0.8057692307692308,0.7326923076923076
GRHL3,26,4,22,0.9886363636363636,0.9659090909090909,0.9772727272727273
GRHPR,29,23,6,0.9202898550724639,0.8985507246376812,0.8478260869565216
GRIA2,34,26,8,1.0,0.9903846153846154,0.9759615384615384
GRIA3,30,22,8,0.9886363636363636,1.0,1.0
GRIA4,15,9,6,0.8333333333333334,0.8888888888888888,0.8518518518518519
GRID2,11,5,6,0.9333333333333333,1.0,1.0
GRIK2,16,6,10,0.95,0.9333333333333333,0.8833333333333333
GRIN1,24,6,18,0.7407407407407407,0.9259259259259259,0.9537037037037036
GRIN2A,292,112,180,0.9627480158730158,0.9749503968253969,0.9631448412698413
GRIN2B,287,149,138,0.9104659079856045,0.9725464448983562,0.9697013909152806
GRIN2D,33,12,21,0.9126984126984128,0.9682539682539683,0.9365079365079365
GRK1,13,9,4,1.0,0.9722222222222222,0.8888888888888888
GRM1,16,4,12,0.9791666666666666,1.0,0.9375
GRM6,32,7,25,0.9657142857142856,0.9885714285714287,0.9257142857142857
GRM7,14,6,8,1.0,1.0,1.0
GRN,18,7,11,0.8701298701298701,0.974025974025974,0.7272727272727272
GRXCR1,8,3,5,1.0,1.0,0.9333333333333333
GTF3C3,12,8,4,1.0,1.0,1.0
GUCA1A,25,20,5,0.8300000000000001,0.95,0.89
GUCY2C,18,9,9,0.8395061728395061,0.9259259259259258,0.8765432098765432
GUCY2D,102,81,21,0.9911816578483245,0.982363315696649,0.9512051734273956
GUSB,36,30,6,1.0,0.9944444444444445,1.0
GYS2,26,8,18,0.9722222222222222,0.9375,0.9305555555555555
HAAO,9,4,5,1.0,1.0,1.0
HACE1,6,3,3,1.0,1.0,1.0
HADHA,29,21,8,0.9880952380952381,0.9761904761904762,0.9345238095238095
HBA2,58,40,18,0.7694444444444445,0.788888888888889,0.6444444444444445
HBB,127,108,19,0.7919103313840156,0.8343079922027291,0.7729044834307992
HBG2,11,5,6,0.6666666666666667,0.9333333333333333,0.9666666666666667
HCCS,19,4,15,1.0,1.0,0.8833333333333333
HCFC1,103,11,92,0.9318181818181819,0.9594861660079052,0.9169960474308301
HCN1,97,40,57,0.9798245614035087,0.9609649122807018,0.9618421052631578
HCN2,29,8,21,0.9583333333333334,0.9821428571428572,0.863095238095238
HCN4,42,15,27,1.0,1.0,0.9950617283950617
HDAC4,26,6,20,1.0,1.0,0.9083333333333333
HDAC8,56,39,17,0.9788838612368024,0.9924585218702865,0.9562594268476621
