gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp,polyphen2,sift
LBR,14,5,9,1.0,1.0,1.0,1.0,0.9111111111111111
LCAT,11,5,6,0.9,1.0,0.9,0.7666666666666667,0.9666666666666667
LDLR,511,476,35,0.9758703481392558,0.9656362545018008,0.9451980792316927,0.950360144057623,0.96593637454982
LGI4,12,4,8,0.875,0.90625,0.875,0.90625,0.875
LHCGR,14,8,6,0.9166666666666667,0.875,1.0,0.7499999999999999,0.9791666666666667
LIFR,10,4,6,0.8333333333333334,0.9166666666666667,0.8333333333333334,0.9166666666666667,0.7916666666666667
LIG4,17,12,5,1.0,1.0,1.0,1.0,1.0
LIPA,40,33,7,0.9740259740259741,0.9956709956709957,0.9740259740259741,0.9523809523809524,0.9199134199134199
LITAF,8,3,5,1.0,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.9666666666666667
LMBRD2,11,3,8,1.0,0.9583333333333334,1.0,1.0,0.9791666666666666
LMOD3,15,4,11,0.8181818181818181,0.8636363636363635,0.7954545454545455,0.6818181818181818,0.8181818181818181
LONP1,97,3,94,0.8936170212765957,0.8936170212765958,0.8617021276595744,0.9042553191489362,0.7801418439716311
LPL,26,23,3,1.0,0.9710144927536232,1.0,1.0,1.0
LRP1B,53,4,49,0.41836734693877553,0.5612244897959184,0.42346938775510207,0.4413265306122449,0.5510204081632654
LRP4,15,6,9,0.6851851851851851,0.9814814814814814,0.9444444444444445,0.6296296296296297,0.5925925925925926
LRP5,48,38,10,0.9578947368421054,0.9552631578947368,0.9789473684210527,0.9315789473684211,0.8723684210526316
LRP6,21,6,15,0.9,0.9222222222222223,0.8555555555555555,0.9222222222222223,0.8777777777777778
LRPPRC,31,3,28,0.9285714285714285,0.9761904761904763,0.9761904761904763,0.8928571428571428,0.9464285714285714
LRSAM1,12,3,9,1.0,1.0,1.0,0.962962962962963,1.0
LSS,29,13,16,0.9855769230769231,1.0,0.9711538461538461,0.9375,0.9519230769230769
LYST,29,4,25,0.88,0.9500000000000001,0.91,0.9299999999999999,0.88
LZTR1,21,14,7,1.0,1.0,0.8673469387755103,0.9387755102040817,0.8979591836734694
MAF,24,13,11,0.972027972027972,1.0,0.958041958041958,0.8321678321678321,1.0
MAFB,13,5,8,1.0,0.975,0.925,1.0,1.0
MAN1B1,19,4,15,1.0,1.0,1.0,0.9833333333333334,0.9500000000000001
MAN2B1,18,4,14,0.9642857142857143,0.9821428571428572,1.0,0.9821428571428572,0.8928571428571428
MAP2K1,42,38,4,0.5789473684210527,0.6776315789473684,0.618421052631579,0.5855263157894737,0.6907894736842105
MAP2K2,26,15,11,0.8545454545454545,0.8454545454545455,0.8242424242424242,0.8333333333333333,0.7363636363636364
MAP3K1,37,6,31,0.8763440860215054,0.9462365591397849,0.9032258064516129,0.8440860215053764,0.8924731182795699
MAP3K7,17,9,8,0.9861111111111112,0.9722222222222222,0.9166666666666667,0.9722222222222222,0.9375
MAPK7,6,3,3,0.6666666666666667,1.0,0.7777777777777779,0.5555555555555556,0.6666666666666667
MBTPS1,16,4,12,1.0,1.0,1.0,1.0,0.9583333333333333
MBTPS2,18,4,14,1.0,1.0,0.9642857142857143,0.9107142857142857,0.8839285714285714
MC2R,13,8,5,1.0,0.9750000000000001,1.0,1.0,0.8875000000000001
MCCC1,20,7,13,0.9450549450549451,0.9780219780219781,0.967032967032967,0.9230769230769231,0.9230769230769231
MCM3AP,21,3,18,0.9814814814814814,0.9814814814814814,0.9814814814814814,0.9074074074074074,0.9722222222222222
MCPH1,26,7,19,1.0,0.962406015037594,0.9548872180451127,1.0,0.9586466165413534
MED12,112,32,80,0.97109375,0.95859375,0.95078125,0.8541015625,0.8310546874999999
MED13,85,3,82,0.910569105691057,0.9471544715447155,0.9634146341463414,0.8109756097560975,0.8414634146341463
MED13L,198,23,175,0.9470807453416149,0.9398757763975155,0.91527950310559,0.6518012422360249,0.8704347826086957
MEFV,8,4,4,0.625,0.625,0.8125,0.4375,0.59375
MEIS2,18,8,10,1.0,1.0,1.0,0.9625000000000001,0.58125
MERTK,24,13,11,1.0,1.0,0.979020979020979,0.9895104895104895,0.9545454545454546
MFN2,94,90,4,1.0,0.9861111111111112,0.9888888888888889,1.0,0.9944444444444445
MFRP,7,3,4,1.0,1.0,1.0,1.0,1.0
MFSD8,10,7,3,1.0,1.0,1.0,1.0,0.8095238095238095
MID1,22,5,17,0.9294117647058824,1.0,0.8588235294117647,0.9411764705882353,0.8352941176470589
MITF,13,8,5,1.0,1.0,1.0,0.9750000000000001,0.9
MKRN3,9,3,6,1.0,1.0,1.0,1.0,1.0
MKS1,7,4,3,0.4166666666666667,0.5833333333333334,0.5,0.08333333333333334,0.33333333333333337
MLH1,113,99,14,0.9747474747474747,0.976911976911977,0.9494949494949495,0.9668109668109668,0.9678932178932179
MMAB,18,15,3,0.7777777777777778,0.8666666666666667,0.9555555555555556,0.8666666666666667,0.6333333333333333
MMACHC,23,19,4,0.9210526315789473,0.9605263157894737,0.9473684210526315,0.8486842105263157,0.8157894736842105
MME,11,4,7,0.8928571428571428,1.0,1.0,0.8928571428571429,0.9285714285714286
MNX1,9,4,5,1.0,1.0,1.0,1.0,0.75
MOGS,15,3,12,0.9166666666666666,1.0,1.0,1.0,0.9722222222222222
MORC2,22,10,12,0.9666666666666667,1.0,0.9916666666666666,0.7750000000000001,0.9916666666666666
MPI,10,5,5,0.9600000000000001,1.0,1.0,0.88,1.0
MPL,19,11,8,0.9545454545454546,1.0,0.8977272727272727,0.9659090909090908,0.9886363636363636
MPO,11,3,8,1.0,1.0,1.0,1.0,1.0
MSH2,300,98,202,0.9257930895130329,0.8980854718124873,0.9042230753687613,0.9031117397454032,0.857521721559911
MSTO1,17,3,14,0.8571428571428572,0.8333333333333333,0.8809523809523809,0.738095238095238,0.6190476190476191
MTFMT,15,3,12,0.8333333333333333,0.6944444444444444,0.6944444444444444,0.6388888888888888,0.6388888888888888
MTM1,49,29,20,0.9879310344827585,0.9948275862068965,0.996551724137931,0.9810344827586207,0.9215517241379311
MTMR2,8,3,5,0.9333333333333333,1.0,1.0,1.0,0.9
MTOR,243,27,216,0.907235939643347,0.919753086419753,0.9331275720164609,0.8939471879286693,0.8102709190672153
MTR,19,5,14,1.0,1.0,0.9857142857142858,1.0,0.9571428571428572
MUSK,13,5,8,1.0,0.675,1.0,1.0,0.9
MYBPC3,8,3,5,0.8666666666666667,0.8,0.9333333333333333,1.0,0.8
MYCN,16,7,9,1.0,1.0,0.9841269841269841,0.9603174603174603,0.9206349206349207
MYH3,41,21,20,0.9071428571428571,0.9500000000000001,0.9595238095238096,0.7821428571428571,0.625
MYH6,25,3,22,0.9090909090909091,0.8787878787878788,0.803030303030303,0.696969696969697,0.5984848484848485
MYH7,233,220,13,0.9087412587412588,0.9159090909090909,0.8185314685314685,0.7805944055944055,0.7928321678321678
MYH9,118,20,98,0.9122448979591837,0.9627551020408163,0.8596938775510203,0.8926020408163265,0.7448979591836734
MYO15A,138,76,62,0.9441850594227504,0.9174448217317487,0.8870967741935484,0.6613964346349744,0.874151103565365
MYO5B,34,3,31,0.956989247311828,0.935483870967742,0.8602150537634409,0.9354838709677419,0.8548387096774193
MYO7A,122,96,26,0.9887820512820513,0.9767628205128205,0.9807692307692307,0.9032451923076923,0.8423477564102564
MYOC,17,8,9,1.0,1.0,1.0,1.0,0.9375000000000001
MYRF,25,10,15,0.9533333333333334,0.9866666666666667,0.9533333333333334,0.9066666666666667,0.9366666666666666
MYT1L,40,19,21,0.9398496240601504,0.9548872180451128,0.9097744360902256,0.9022556390977443,0.6428571428571428
NAA10,26,21,5,0.9809523809523809,0.819047619047619,0.8571428571428571,0.8333333333333333,0.8333333333333333
NAA15,11,6,5,0.7666666666666666,0.9666666666666668,0.8666666666666667,0.8333333333333333,0.95
NADSYN1,8,3,5,1.0,1.0,1.0,0.9333333333333333,0.9
NAGLU,56,41,15,0.9463414634146342,0.9495934959349593,0.9024390243902439,0.8666666666666667,0.9739837398373984
NAGS,9,4,5,0.9500000000000001,0.9,0.9500000000000001,0.85,0.875
NALCN,47,41,6,0.8455284552845529,0.8353658536585367,0.8373983739837398,0.7947154471544716,0.8678861788617886
NARS2,14,7,7,0.979591836734694,0.9387755102040816,0.8979591836734693,0.8163265306122449,1.0
NBEA,64,4,60,0.8083333333333333,0.8666666666666667,0.7374999999999999,0.6416666666666667,0.6666666666666666
NBEAL2,35,8,27,0.9722222222222222,0.9953703703703705,0.9907407407407407,0.9699074074074074,0.8888888888888888
NCDN,8,5,3,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,0.8666666666666667
NCKAP1L,10,3,7,0.47619047619047616,0.5714285714285714,0.6190476190476191,0.47619047619047616,0.6904761904761905
NDUFAF5,15,10,5,1.0,0.9800000000000001,1.0,0.96,0.8400000000000001
NDUFAF6,10,3,7,1.0,1.0,1.0,1.0,1.0
NDUFV1,19,14,5,1.0,1.0,0.9857142857142858,1.0,1.0
NECTIN4,8,4,4,0.9375,1.0,1.0,0.5625,1.0
NEFL,8,4,4,0.9375,0.9375,1.0,0.9375,0.84375
NEK9,14,4,10,0.9500000000000001,0.9750000000000001,0.7500000000000001,0.8125,0.9875
NEU1,40,28,12,0.9345238095238095,0.961309523809524,0.9166666666666667,0.9404761904761905,0.8883928571428572
NEUROD2,6,3,3,0.888888888888889,0.6666666666666666,1.0,1.0,1.0
NF1,401,325,76,0.950161943319838,0.9491093117408906,0.9519433198380567,0.9307894736842106,0.7775303643724697
NFIX,24,20,4,0.9624999999999999,0.95,0.9624999999999999,0.61875,0.7375
NFKBIA,20,4,16,0.84375,0.921875,0.5,0.765625,0.90625
NHLRC2,11,3,8,1.0,1.0,0.875,1.0,0.9791666666666666
NIPBL,123,58,65,0.9724137931034482,0.9612732095490716,0.9570291777188329,0.9396551724137931,0.8438992042440319
NKX2-5,21,12,9,0.9907407407407407,0.9351851851851851,0.9074074074074074,0.9074074074074073,0.9814814814814815
NLGN3,9,5,4,0.95,1.0,0.9,1.0,0.875
NLRC4,18,7,11,0.8571428571428572,0.8701298701298701,0.8831168831168831,0.8831168831168831,0.8636363636363636
NLRP2,52,3,49,0.6938775510204082,0.8299319727891156,0.7482993197278911,0.6496598639455782,0.7244897959183674
NLRP7,19,4,15,0.5,0.6166666666666667,0.41666666666666663,0.6583333333333333,0.5166666666666667
NNT,17,4,13,1.0,1.0,0.9615384615384616,0.9230769230769231,0.9615384615384616
NOG,9,5,4,0.85,1.0,0.9,0.8,0.825
